stop_id,stop_name,stop_lat,stop_lon,node_id
par_4_120,NUEVOS MINISTERIOS,40.44662,-3.69241,124
par_4_121,CUATRO CAMINOS,40.44697,-3.70387,125
par_4_122,GUZMAN EL BUENO,40.44637,-3.71229,126
par_4_123,VICENTE ALEIXANDRE,40.44644,-3.71943,127
par_4_124,CIUDAD UNIVERSITARIA,40.44356,-3.72678,128
par_4_125,MONCLOA,40.43497,-3.71945,129
par_4_126,ARGÜELLES,40.43053,-3.71596,130
par_4_127,PRINCIPE PIO,40.42107,-3.72032,131
par_4_128,PUERTA DEL ANGEL,40.4139,-3.72724,132
par_4_129,ALTO DE EXTREMADURA,40.40993,-3.73894,133
par_4_130,LUCERO,40.4051,-3.74534,134
par_4_259,ARGANZUELA-PLANETARIO,40.3931,-3.68864,135
par_4_132,LAS MUSAS,40.43299,-3.60788,136
par_4_133,SAN BLAS,40.42799,-3.61547,137
par_4_134,SIMANCAS,40.42799,-3.62572,138
par_4_135,GARCIA NOBLEJAS,40.42842,-3.6333,139
par_4_136,ASCAO,40.43021,-3.64106,140
par_4_137,PUEBLO NUEVO,40.43566,-3.64282,141
par_4_138,BARRIO DE LA CONCEPCION,40.4391,-3.652,142
par_4_139,PARQUE DE LAS AVENIDAS,40.43945,-3.66297,143
par_4_140,CARTAGENA,40.43934,-3.67215,144
par_4_141,AVENIDA DE AMERICA,40.43804,-3.67653,145
par_4_142,GREGORIO MARAÑON,40.43825,-3.69148,146
par_4_143,ALONSO CANO,40.43838,-3.69925,147
par_4_144,CANAL,40.4387,-3.70489,148
par_4_145,ISLAS FILIPINAS,40.43907,-3.71373,149
par_4_146,GUZMAN EL BUENO,40.44633,-3.71229,150
par_4_147,FRANCOS RODRIGUEZ,40.45648,-3.71239,151
par_4_148,VALDEZARZA,40.46482,-3.71597,152
par_4_149,ANTONIO MACHADO,40.47022,-3.71769,153
par_4_150,PEÑAGRANDE,40.47592,-3.71582,154
par_4_151,AVENIDA DE LA ILUSTRACION,40.4801,-3.7184,155
par_4_152,LACOMA,40.48502,-3.72305,156
par_4_153,ARROYOFRESNO,40.4909,-3.72604,157
par_4_154,PITIS,40.49511,-3.72589,158
par_4_286,ESTADIO METROPOLITANO,40.43339,-3.60015,159
par_4_287,BARRIO DEL PUERTO,40.4225,-3.56919,160
par_4_288,COSLADA CENTRAL,40.42374,-3.56119,161
par_4_289,LA RAMBLA,40.42514,-3.54792,162
par_4_290,SAN FERNANDO,40.42441,-3.53541,163
par_4_291,JARAMA,40.42295,-3.52549,164
par_4_292,HENARES,40.41777,-3.52718,165
par_4_296,HOSPITAL DEL HENARES,40.41761,-3.53453,166
par_4_155,NUEVOS MINISTERIOS,40.44655,-3.69241,167
par_4_156,COLOMBIA,40.45634,-3.67682,168
par_4_157,MAR DE CRISTAL,40.46938,-3.63832,169
par_4_158,FERIA DE MADRID,40.46389,-3.6162,170
par_4_159,AEROPUERTO T1-T2-T3,40.46864,-3.56954,171
par_4_160,BARAJAS,40.47577,-3.58253,172
par_4_258,PINAR DEL REY,40.468,-3.64867,173
par_4_285,AEROPUERTO T-4,40.49177,-3.59325,174
par_4_161,HERRERA ORIA,40.48466,-3.70751,175
par_4_162,BARRIO DEL PILAR,40.47689,-3.70316,176
par_4_163,VENTILLA,40.46944,-3.69588,177
par_4_164,PLAZA DE CASTILLA,40.4669,-3.68913,178
par_4_165,DUQUE DE PASTRANA,40.46763,-3.67917,179
par_4_166,PIO XII,40.463,-3.67579,180
par_4_167,COLOMBIA,40.45749,-3.67694,181
par_4_168,CONCHA ESPINA,40.45145,-3.67738,182
par_4_169,CRUZ DEL RAYO,40.44427,-3.67821,183
par_4_170,AVENIDA DE AMERICA,40.43804,-3.67647,184
par_4_171,NUÑEZ DE BALBOA,40.43013,-3.67936,185
par_4_172,PRINCIPE DE VERGARA,40.42418,-3.68024,186
par_4_173,IBIZA,40.41839,-3.67858,187
par_4_174,SAINZ DE BARANDA,40.41503,-3.66951,188
par_4_175,ESTRELLA,40.41147,-3.66179,189
par_4_176,VINATEROS,40.41024,-3.65273,190
par_4_177,ARTILLEROS,40.40522,-3.64181,191
par_4_178,PAVONES,40.40051,-3.63512,192
par_4_179,VALDEBERNARDO,40.40005,-3.62156,193
par_4_180,VICALVARO,40.40422,-3.60886,194
par_4_181,SAN CIPRIANO,40.40381,-3.60239,195
par_4_182,PUERTA DE ARGANDA,40.40132,-3.59598,196
par_4_183,RIVAS URBANIZACIONES,40.36677,-3.54728,197
par_4_184,RIVAS VACIAMADRID,40.32837,-3.5206,198
par_4_185,LA POVEDA,40.31902,-3.47745,199
par_4_186,ARGANDA DEL REY,40.30367,-3.44752,200
par_4_300,RIVAS FUTURA,40.34134,-3.52479,201
par_4_326,MIRASIERRA,40.4911,-3.71634,202
par_4_345,PACO DE LUCIA,40.49965,-3.70908,203
par_4_187,FUENCARRAL,40.49509,-3.69283,204
par_4_188,BEGOÑA,40.48041,-3.68585,205
par_4_189,CHAMARTIN,40.4721,-3.68259,206
par_4_190,PLAZA DE CASTILLA,40.4669,-3.68909,207
par_4_191,CUZCO,40.45842,-3.68985,208
par_4_192,SANTIAGO BERNABEU,40.45159,-3.69038,209
par_4_193,NUEVOS MINISTERIOS,40.44659,-3.69241,210
par_4_194,GREGORIO MARAÑON,40.43753,-3.69127,211
par_4_195,ALONSO MARTINEZ,40.42853,-3.69643,212
par_4_196,TRIBUNAL,40.426,-3.70208,213
par_4_197,PLAZA DE ESPAÑA,40.42409,-3.7097,214
par_4_198,PRINCIPE PIO,40.42103,-3.72033,215
par_4_199,LAGO,40.41641,-3.73563,216
par_4_200,BATAN,40.40786,-3.75311,217
par_4_201,CASA DE CAMPO,40.40321,-3.76101,218
par_4_202,COLONIA JARDIN,40.39698,-3.77462,219
par_4_203,CUATRO VIENTOS,40.37771,-3.79152,220
par_4_204,JOAQUIN VILUMBRALES,40.34985,-3.8072,221
par_4_205,PUERTA DEL SUR,40.34524,-3.81211,222
par_4_257,AVIACION ESPAÑOLA,40.38364,-3.78392,223
par_4_274,TRES OLIVOS,40.5012,-3.6952,224
par_4_275,MONTECARMELO,40.50525,-3.69575,225
par_4_276,LAS TABLAS,40.50833,-3.66944,226
par_4_277,RONDA DE LA COMUNICACION,40.51553,-3.66277,227
par_4_278,LA GRANJA,40.5276,-3.65859,228
par_4_279,LA MORALEJA,40.53196,-3.63556,229
par_4_280,MARQUES DE LA VALDAVIA,40.54102,-3.63738,230
par_4_281,MANUEL DE FALLA,40.55048,-3.64688,231
par_4_282,BAUNATAL,40.55442,-3.63513,232
par_4_283,REYES CATOLICOS,40.55037,-3.6234,233
par_4_284,HOSPITAL INFANTA SOFIA,40.55977,-3.61145,234
par_4_206,PLAZA ELIPTICA,40.3846,-3.71825,235
par_4_207,ABRANTES,40.38083,-3.7279,236
par_4_208,PAN BENDITO,40.37587,-3.73417,237
par_4_254,SAN FRANCISCO,40.3736,-3.7391,238
par_4_255,CARABANCHEL ALTO,40.372,-3.75191,239
par_4_256,LA PESETA,40.36422,-3.7569,240
par_4_305,LA FORTUNA,40.35795,-3.77783,241
par_4_209,PUERTA DEL SUR,40.34543,-3.81249,242
par_4_210,PARQUE LISBOA,40.34969,-3.8212,243
par_4_211,ALCORCON CENTRAL,40.35008,-3.83178,244
par_4_212,PARQUE OESTE,40.34589,-3.84934,245
par_4_213,UNIVERSIDAD REY JUAN CARLOS,40.33512,-3.87218,246
par_4_214,MOSTOLES CENTRAL,40.3285,-3.86354,247
par_4_215,PRADILLO,40.32168,-3.86489,248
par_4_216,HOSPITAL DE MOSTOLES,40.31652,-3.87471,249
par_4_217,MANUELA MALASAÑA,40.30903,-3.86402,250
par_4_218,LORANCA,40.29681,-3.83768,251
par_4_219,HOSPITAL DE FUENLABRADA,40.28576,-3.81642,252
par_4_220,PARQUE EUROPA,40.28518,-3.80632,253
par_4_221,FUENLABRADA CENTRAL,40.28268,-3.79891,254
par_4_222,PARQUE DE LOS ESTADOS,40.28684,-3.78697,255
par_4_223,ARROYO CULEBRO,40.28874,-3.75682,256
par_4_224,CONSERVATORIO,40.29324,-3.74576,257
par_4_225,ALONSO DE MENDOZA,40.30081,-3.73664,258
par_4_226,GETAFE CENTRAL,40.30993,-3.73403,259
par_4_227,JUAN DE LA CIERVA,40.3118,-3.72224,260
par_4_228,EL CASAR,40.31862,-3.70985,261
par_4_229,LOS ESPARTALES,40.32423,-3.7182,262
par_4_230,EL BERCIAL,40.32907,-3.72963,263
par_4_231,EL CARRASCAL,40.33664,-3.74018,264
par_4_232,JULIAN BESTEIRO,40.33475,-3.75266,265
par_4_233,CASA DEL RELOJ,40.3266,-3.75942,266
par_4_234,HOSPITAL SEVERO OCHOA,40.32177,-3.76797,267
par_4_235,LEGANES CENTRAL,40.32899,-3.77154,268
par_4_236,SAN NICASIO,40.33616,-3.77587,269
par_4_237,OPERA,40.41809,-3.70928,270
par_4_238,PRINCIPE PIO,40.42099,-3.72033,271
