trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-004_2023I12_2_1_4__4___,par_4_64,par_4_63,82.0,66,65
4_I12-004_2023I12_2_1_4__4___,par_4_63,par_4_62,90.0,65,64
4_I12-004_2023I12_2_1_4__4___,par_4_62,par_4_61,91.0,64,63
4_I12-004_2023I12_2_1_4__4___,par_4_61,par_4_60,78.0,63,62
4_I12-004_2023I12_2_1_4__4___,par_4_60,par_4_59,59.0,62,61
4_I12-004_2023I12_2_1_4__4___,par_4_59,par_4_58,80.0,61,60
4_I12-004_2023I12_2_1_4__4___,par_4_58,par_4_57,60.0,60,59
4_I12-004_2023I12_2_1_4__4___,par_4_57,par_4_56,70.0,59,58
4_I12-004_2023I12_2_1_4__4___,par_4_56,par_4_55,62.0,58,57
4_I12-004_2023I12_2_1_4__4___,par_4_55,par_4_54,130.0,57,56
4_I12-005_2023I12_1_1_4__5___,par_4_252,par_4_253,114.0,80,81
4_I12-005_2023I12_1_1_4__5___,par_4_253,par_4_74,218.0,81,82
4_I12-005_2023I12_1_1_4__5___,par_4_74,par_4_75,153.0,82,83
4_I12-005_2023I12_1_1_4__5___,par_4_75,par_4_76,119.0,83,84
4_I12-005_2023I12_1_1_4__5___,par_4_76,par_4_77,147.0,84,85
4_I12-005_2023I12_1_1_4__5___,par_4_77,par_4_78,84.0,85,86
4_I12-005_2023I12_1_1_4__5___,par_4_78,par_4_79,82.0,86,87
4_I12-005_2023I12_1_1_4__5___,par_4_79,par_4_80,109.0,87,88
4_I12-005_2023I12_1_1_4__5___,par_4_80,par_4_81,106.0,88,89
4_I12-005_2023I12_1_1_4__5___,par_4_81,par_4_82,136.0,89,90
4_I12-005_2023I12_1_1_4__5___,par_4_82,par_4_83,103.0,90,91
4_I12-005_2023I12_1_1_4__5___,par_4_83,par_4_84,102.0,91,92
4_I12-005_2023I12_1_1_4__5___,par_4_84,par_4_85,109.0,92,93
4_I12-005_2023I12_1_1_4__5___,par_4_85,par_4_86,107.0,93,94
4_I12-005_2023I12_1_1_4__5___,par_4_86,par_4_87,77.0,94,95
4_I12-005_2023I12_1_1_4__5___,par_4_87,par_4_88,52.0,95,96
4_I12-005_2023I12_1_1_4__5___,par_4_88,par_4_89,76.0,96,97
4_I12-005_2023I12_1_1_4__5___,par_4_89,par_4_90,118.0,97,98
4_I12-005_2023I12_1_1_4__5___,par_4_90,par_4_91,90.0,98,99
4_I12-005_2023I12_1_1_4__5___,par_4_91,par_4_92,138.0,99,100
4_I12-005_2023I12_1_1_4__5___,par_4_92,par_4_93,83.0,100,101
4_I12-005_2023I12_1_1_4__5___,par_4_93,par_4_94,117.0,101,102
4_I12-005_2023I12_1_1_4__5___,par_4_94,par_4_95,118.0,102,103
4_I12-005_2023I12_1_1_4__5___,par_4_95,par_4_96,102.0,103,104
4_I12-005_2023I12_1_1_4__5___,par_4_96,par_4_97,113.0,104,105
4_I12-005_2023I12_1_1_4__5___,par_4_97,par_4_98,96.0,105,106
4_I12-005_2023I12_1_1_4__5___,par_4_98,par_4_99,90.0,106,107
4_I12-005_2023I12_1_1_4__5___,par_4_99,par_4_100,143.0,107,76
4_I12-005_2023I12_1_1_4__5___,par_4_100,par_4_101,104.0,76,77
4_I12-005_2023I12_1_1_4__5___,par_4_101,par_4_102,69.0,77,78
4_I12-005_2023I12_1_1_4__5___,par_4_102,par_4_103,184.0,78,79
4_I12-005_2023I12_2_1_4__5___,par_4_103,par_4_102,184.0,79,78
4_I12-005_2023I12_2_1_4__5___,par_4_102,par_4_101,69.0,78,77
4_I12-005_2023I12_2_1_4__5___,par_4_101,par_4_100,104.0,77,76
4_I12-005_2023I12_2_1_4__5___,par_4_100,par_4_99,143.0,76,107
4_I12-005_2023I12_2_1_4__5___,par_4_99,par_4_98,90.0,107,106
4_I12-005_2023I12_2_1_4__5___,par_4_98,par_4_97,96.0,106,105
4_I12-005_2023I12_2_1_4__5___,par_4_97,par_4_96,113.0,105,104
4_I12-005_2023I12_2_1_4__5___,par_4_96,par_4_95,102.0,104,103
4_I12-005_2023I12_2_1_4__5___,par_4_95,par_4_94,118.0,103,102
4_I12-005_2023I12_2_1_4__5___,par_4_94,par_4_93,117.0,102,101
4_I12-005_2023I12_2_1_4__5___,par_4_93,par_4_92,83.0,101,100
4_I12-005_2023I12_2_1_4__5___,par_4_92,par_4_91,138.0,100,99
4_I12-005_2023I12_2_1_4__5___,par_4_91,par_4_90,90.0,99,98
4_I12-005_2023I12_2_1_4__5___,par_4_90,par_4_89,118.0,98,97
4_I12-005_2023I12_2_1_4__5___,par_4_89,par_4_88,76.0,97,96
4_I12-005_2023I12_2_1_4__5___,par_4_88,par_4_87,52.0,96,95
4_I12-005_2023I12_2_1_4__5___,par_4_87,par_4_86,77.0,95,94
4_I12-005_2023I12_2_1_4__5___,par_4_86,par_4_85,107.0,94,93
4_I12-005_2023I12_2_1_4__5___,par_4_85,par_4_84,109.0,93,92
4_I12-005_2023I12_2_1_4__5___,par_4_84,par_4_83,102.0,92,91
4_I12-005_2023I12_2_1_4__5___,par_4_83,par_4_82,103.0,91,90
4_I12-005_2023I12_2_1_4__5___,par_4_82,par_4_81,136.0,90,89
4_I12-005_2023I12_2_1_4__5___,par_4_81,par_4_80,106.0,89,88
4_I12-005_2023I12_2_1_4__5___,par_4_80,par_4_79,109.0,88,87
4_I12-005_2023I12_2_1_4__5___,par_4_79,par_4_78,82.0,87,86
